| end of epoch   1 | time: 116.10s | valid loss  4.78 | valid ppl   119.15
| end of epoch   2 | time: 112.71s | valid loss  4.57 | valid ppl    96.19
| end of epoch   3 | time: 114.21s | valid loss  4.51 | valid ppl    91.23
| end of epoch   4 | time: 114.03s | valid loss  4.52 | valid ppl    92.19
| end of epoch   5 | time: 117.19s | valid loss  4.50 | valid ppl    89.69
| end of epoch   6 | time: 112.77s | valid loss  4.55 | valid ppl    94.22
| end of epoch   7 | time: 113.94s | valid loss  4.56 | valid ppl    95.82
| end of epoch   8 | time: 112.85s | valid loss  4.56 | valid ppl    95.24
| end of epoch   9 | time: 112.38s | valid loss  4.54 | valid ppl    94.13
| end of epoch  10 | time: 113.09s | valid loss  4.54 | valid ppl    93.55
| end of epoch  11 | time: 112.60s | valid loss  4.54 | valid ppl    93.40
| end of epoch  12 | time: 108.81s | valid loss  4.54 | valid ppl    93.37
| end of epoch  13 | time: 108.70s | valid loss  4.54 | valid ppl    93.36
| end of epoch  14 | time: 110.85s | valid loss  4.54 | valid ppl    93.36
| end of epoch  15 | time: 111.58s | valid loss  4.54 | valid ppl    93.36
| end of epoch  16 | time: 110.32s | valid loss  4.54 | valid ppl    93.36
| end of epoch  17 | time: 112.28s | valid loss  4.54 | valid ppl    93.36
| end of epoch  18 | time: 110.16s | valid loss  4.54 | valid ppl    93.36
| end of epoch  19 | time: 110.09s | valid loss  4.54 | valid ppl    93.36
| end of epoch  20 | time: 111.08s | valid loss  4.54 | valid ppl    93.36
| end of epoch  21 | time: 111.23s | valid loss  4.54 | valid ppl    93.36
| end of epoch  22 | time: 110.57s | valid loss  4.54 | valid ppl    93.36
| end of epoch  23 | time: 110.93s | valid loss  4.54 | valid ppl    93.36
| end of epoch  24 | time: 114.91s | valid loss  4.54 | valid ppl    93.36
| end of epoch  25 | time: 114.14s | valid loss  4.54 | valid ppl    93.36
| end of epoch  26 | time: 114.91s | valid loss  4.54 | valid ppl    93.36
| end of epoch  27 | time: 116.15s | valid loss  4.54 | valid ppl    93.36
| end of epoch  28 | time: 114.74s | valid loss  4.54 | valid ppl    93.36
| end of epoch  29 | time: 115.18s | valid loss  4.54 | valid ppl    93.36
| end of epoch  30 | time: 113.22s | valid loss  4.54 | valid ppl    93.36
| end of epoch  31 | time: 108.86s | valid loss  4.54 | valid ppl    93.36
| end of epoch  32 | time: 108.90s | valid loss  4.54 | valid ppl    93.36
| end of epoch  33 | time: 110.22s | valid loss  4.54 | valid ppl    93.36
| end of epoch  34 | time: 108.93s | valid loss  4.54 | valid ppl    93.36
| end of epoch  35 | time: 108.67s | valid loss  4.54 | valid ppl    93.36
| end of epoch  36 | time: 110.31s | valid loss  4.54 | valid ppl    93.36
| end of epoch  37 | time: 110.81s | valid loss  4.54 | valid ppl    93.36
| end of epoch  38 | time: 113.81s | valid loss  4.54 | valid ppl    93.36
| end of epoch  39 | time: 114.94s | valid loss  4.54 | valid ppl    93.36
| end of epoch  40 | time: 116.76s | valid loss  4.54 | valid ppl    93.36
| End of training | test loss  4.42 | test ppl    83.17
